Age,Female,Male
0-4,1184,1258
5-9,1344,1425
10-14,1392,1478
15-19,1380,1483
20-24,1432,1542
25-29,1563,1635
30-34,1694,1723
35-39,1898,1906
40-44,2241,2228
45-49,2490,2448
50-54,2480,2400
55-59,2275,2156
60-64,1963,1816
65-69,1868,1696
70-74,1714,1499
75-79,1468,1172
80-84,1306,914
85-89,857,470
90-94,447,185
95-99,138,44
100+,13,3
