Age,Female,Male
0-4,1825,1909
5-9,1934,2023
10-14,1943,2036
15-19,1887,1966
20-24,1833,1868
25-29,1898,1867
30-34,2033,1964
35-39,2022,1956
40-44,2062,2018
45-49,2234,2190
50-54,2218,2143
55-59,2161,2041
60-64,2054,1885
65-69,2029,1809
70-74,1676,1445
75-79,1155,909
80-84,1089,734
85-89,837,459
90-94,463,193
95-99,156,48
100+,16,3
