prob,parents_age,child_age,gender
0,1,0,female
0,2,0,female
0,3,0,female
0,4,0,female
0,5,0,female
0,6,0,female
0,7,0,female
0,8,0,female
0,9,0,female
0,10,0,female
0,11,0,female
0,12,0,female
0,13,0,female
0,14,0,female
0.00423585147110717,15,0,female
0.00423585147110717,16,0,female
0.00423585147110717,17,0,female
0.00423585147110717,18,0,female
0.00423585147110717,19,0,female
0.0256871336884502,20,0,female
0.0256871336884502,21,0,female
0.0256871336884502,22,0,female
0.0256871336884502,23,0,female
0.0256871336884502,24,0,female
0.0637509924247381,25,0,female
0.0637509924247381,26,0,female
0.0637509924247381,27,0,female
0.0637509924247381,28,0,female
0.0637509924247381,29,0,female
0.0893962466957211,30,0,female
0.0893962466957211,31,0,female
0.0893962466957211,32,0,female
0.0893962466957211,33,0,female
0.0893962466957211,34,0,female
0.0600883434947716,35,0,female
0.0600883434947716,36,0,female
0.0600883434947716,37,0,female
0.0600883434947716,38,0,female
0.0600883434947716,39,0,female
0.015511255431638,40,0,female
0.015511255431638,41,0,female
0.015511255431638,42,0,female
0.015511255431638,43,0,female
0.015511255431638,44,0,female
0.00146413763630248,45,0,female
0.00146413763630248,46,0,female
0.00146413763630248,47,0,female
0.00146413763630248,48,0,female
0.00146413763630248,49,0,female
0,50,0,female
0,51,0,female
0,52,0,female
0,53,0,female
0,54,0,female
0,55,0,female
0,56,0,female
0,57,0,female
0,58,0,female
0,59,0,female
0,60,0,female
0,61,0,female
0,62,0,female
0,63,0,female
0,64,0,female
0,65,0,female
0,66,0,female
0,67,0,female
0,68,0,female
0,69,0,female
0,70,0,female
0,71,0,female
0,72,0,female
0,73,0,female
0,74,0,female
0,75,0,female
0,76,0,female
0,77,0,female
0,78,0,female
0,79,0,female
0,80,0,female
0,81,0,female
0,82,0,female
0,83,0,female
0,84,0,female
0,85,0,female
0,86,0,female
0,87,0,female
0,88,0,female
0,89,0,female
0,90,0,female
0,91,0,female
0,92,0,female
0,93,0,female
0,94,0,female
0,95,0,female
0,96,0,female
0,97,0,female
0,98,0,female
0,99,0,female
0,100,0,female
0,1,1,female
0,2,1,female
0,3,1,female
0,4,1,female
0,5,1,female
0,6,1,female
0,7,1,female
0,8,1,female
0,9,1,female
0,10,1,female
0,11,1,female
0,12,1,female
0,13,1,female
0,14,1,female
0,15,1,female
0.00423615821840108,16,1,female
0.00423615821840108,17,1,female
0.00423615821840108,18,1,female
0.00423615821840108,19,1,female
0.00423615821840108,20,1,female
0.0256889938714148,21,1,female
0.0256889938714148,22,1,female
0.0256889938714148,23,1,female
0.0256889938714148,24,1,female
0.0256889938714148,25,1,female
0.0637556090749072,26,1,female
0.0637556090749072,27,1,female
0.0637556090749072,28,1,female
0.0637556090749072,29,1,female
0.0637556090749072,30,1,female
0.0894027204960767,31,1,female
0.0894027204960767,32,1,female
0.0894027204960767,33,1,female
0.0894027204960767,34,1,female
0.0894027204960767,35,1,female
0.0600926949072063,36,1,female
0.0600926949072063,37,1,female
0.0600926949072063,38,1,female
0.0600926949072063,39,1,female
0.0600926949072063,40,1,female
0.0155123787088967,41,1,female
0.0155123787088967,42,1,female
0.0155123787088967,43,1,female
0.0155123787088967,44,1,female
0.0155123787088967,45,1,female
0.00146424366463253,46,1,female
0.00146424366463253,47,1,female
0.00146424366463253,48,1,female
0.00146424366463253,49,1,female
0.00146424366463253,50,1,female
0,51,1,female
0,52,1,female
0,53,1,female
0,54,1,female
0,55,1,female
0,56,1,female
0,57,1,female
0,58,1,female
0,59,1,female
0,60,1,female
0,61,1,female
0,62,1,female
0,63,1,female
0,64,1,female
0,65,1,female
0,66,1,female
0,67,1,female
0,68,1,female
0,69,1,female
0,70,1,female
0,71,1,female
0,72,1,female
0,73,1,female
0,74,1,female
0,75,1,female
0,76,1,female
0,77,1,female
0,78,1,female
0,79,1,female
0,80,1,female
0,81,1,female
0,82,1,female
0,83,1,female
0,84,1,female
0,85,1,female
0,86,1,female
0,87,1,female
0,88,1,female
0,89,1,female
0,90,1,female
0,91,1,female
0,92,1,female
0,93,1,female
0,94,1,female
0,95,1,female
0,96,1,female
0,97,1,female
0,98,1,female
0,99,1,female
0,100,1,female
0,1,2,female
0,2,2,female
0,3,2,female
0,4,2,female
0,5,2,female
0,6,2,female
0,7,2,female
0,8,2,female
0,9,2,female
0,10,2,female
0,11,2,female
0,12,2,female
0,13,2,female
0,14,2,female
0,15,2,female
0,16,2,female
0.00419277692078497,17,2,female
0.00419277692078497,18,2,female
0.00419277692078497,19,2,female
0.00419277692078497,20,2,female
0.00419277692078497,21,2,female
0.0256412947209329,22,2,female
0.0256412947209329,23,2,female
0.0256412947209329,24,2,female
0.0256412947209329,25,2,female
0.0256412947209329,26,2,female
0.0637959494661321,27,2,female
0.0637959494661321,28,2,female
0.0637959494661321,29,2,female
0.0637959494661321,30,2,female
0.0637959494661321,31,2,female
0.0890172710510497,32,2,female
0.0890172710510497,33,2,female
0.0890172710510497,34,2,female
0.0890172710510497,35,2,female
0.0890172710510497,36,2,female
0.0599877370609359,37,2,female
0.0599877370609359,38,2,female
0.0599877370609359,39,2,female
0.0599877370609359,40,2,female
0.0599877370609359,41,2,female
0.0155087283872892,42,2,female
0.0155087283872892,43,2,female
0.0155087283872892,44,2,female
0.0155087283872892,45,2,female
0.0155087283872892,46,2,female
0.00146339782261253,47,2,female
0.00146339782261253,48,2,female
0.00146339782261253,49,2,female
0.00146339782261253,50,2,female
0.00146339782261253,51,2,female
0,52,2,female
0,53,2,female
0,54,2,female
0,55,2,female
0,56,2,female
0,57,2,female
0,58,2,female
0,59,2,female
0,60,2,female
0,61,2,female
0,62,2,female
0,63,2,female
0,64,2,female
0,65,2,female
0,66,2,female
0,67,2,female
0,68,2,female
0,69,2,female
0,70,2,female
0,71,2,female
0,72,2,female
0,73,2,female
0,74,2,female
0,75,2,female
0,76,2,female
0,77,2,female
0,78,2,female
0,79,2,female
0,80,2,female
0,81,2,female
0,82,2,female
0,83,2,female
0,84,2,female
0,85,2,female
0,86,2,female
0,87,2,female
0,88,2,female
0,89,2,female
0,90,2,female
0,91,2,female
0,92,2,female
0,93,2,female
0,94,2,female
0,95,2,female
0,96,2,female
0,97,2,female
0,98,2,female
0,99,2,female
0,100,2,female
0,1,3,female
0,2,3,female
0,3,3,female
0,4,3,female
0,5,3,female
0,6,3,female
0,7,3,female
0,8,3,female
0,9,3,female
0,10,3,female
0,11,3,female
0,12,3,female
0,13,3,female
0,14,3,female
0,15,3,female
0,16,3,female
0,17,3,female
0.00424900456832885,18,3,female
0.00424900456832885,19,3,female
0.00424900456832885,20,3,female
0.00424900456832885,21,3,female
0.00424900456832885,22,3,female
0.0259781727124206,23,3,female
0.0259781727124206,24,3,female
0.0259781727124206,25,3,female
0.0259781727124206,26,3,female
0.0259781727124206,27,3,female
0.0640744605683358,28,3,female
0.0640744605683358,29,3,female
0.0640744605683358,30,3,female
0.0640744605683358,31,3,female
0.0640744605683358,32,3,female
0.0889121323056453,33,3,female
0.0889121323056453,34,3,female
0.0889121323056453,35,3,female
0.0889121323056453,36,3,female
0.0889121323056453,37,3,female
0.0596791057490434,38,3,female
0.0596791057490434,39,3,female
0.0596791057490434,40,3,female
0.0596791057490434,41,3,female
0.0596791057490434,42,3,female
0.015486967598053,43,3,female
0.015486967598053,44,3,female
0.015486967598053,45,3,female
0.015486967598053,46,3,female
0.015486967598053,47,3,female
0.00141334149886536,48,3,female
0.00141334149886536,49,3,female
0.00141334149886536,50,3,female
0.00141334149886536,51,3,female
0.00141334149886536,52,3,female
0,53,3,female
0,54,3,female
0,55,3,female
0,56,3,female
0,57,3,female
0,58,3,female
0,59,3,female
0,60,3,female
0,61,3,female
0,62,3,female
0,63,3,female
0,64,3,female
0,65,3,female
0,66,3,female
0,67,3,female
0,68,3,female
0,69,3,female
0,70,3,female
0,71,3,female
0,72,3,female
0,73,3,female
0,74,3,female
0,75,3,female
0,76,3,female
0,77,3,female
0,78,3,female
0,79,3,female
0,80,3,female
0,81,3,female
0,82,3,female
0,83,3,female
0,84,3,female
0,85,3,female
0,86,3,female
0,87,3,female
0,88,3,female
0,89,3,female
0,90,3,female
0,91,3,female
0,92,3,female
0,93,3,female
0,94,3,female
0,95,3,female
0,96,3,female
0,97,3,female
0,98,3,female
0,99,3,female
0,100,3,female
0,1,4,female
0,2,4,female
0,3,4,female
0,4,4,female
0,5,4,female
0,6,4,female
0,7,4,female
0,8,4,female
0,9,4,female
0,10,4,female
0,11,4,female
0,12,4,female
0,13,4,female
0,14,4,female
0,15,4,female
0,16,4,female
0,17,4,female
0,18,4,female
0.00448346168863643,19,4,female
0.00448346168863643,20,4,female
0.00448346168863643,21,4,female
0.00448346168863643,22,4,female
0.00448346168863643,23,4,female
0.0265891513589476,24,4,female
0.0265891513589476,25,4,female
0.0265891513589476,26,4,female
0.0265891513589476,27,4,female
0.0265891513589476,28,4,female
0.0649041963326379,29,4,female
0.0649041963326379,30,4,female
0.0649041963326379,31,4,female
0.0649041963326379,32,4,female
0.0649041963326379,33,4,female
0.089227383009864,34,4,female
0.089227383009864,35,4,female
0.089227383009864,36,4,female
0.089227383009864,37,4,female
0.089227383009864,38,4,female
0.0590331960244246,39,4,female
0.0590331960244246,40,4,female
0.0590331960244246,41,4,female
0.0590331960244246,42,4,female
0.0590331960244246,43,4,female
0.0154558639849486,44,4,female
0.0154558639849486,45,4,female
0.0154558639849486,46,4,female
0.0154558639849486,47,4,female
0.0154558639849486,48,4,female
0.00131433733158685,49,4,female
0.00131433733158685,50,4,female
