prob,father_age,child_age,gender
0,1,0,male
0,2,0,male
0,3,0,male
0,4,0,male
0,5,0,male
0,6,0,male
0,7,0,male
0,8,0,male
0,9,0,male
0,10,0,male
0,11,0,male
0,12,0,male
0,13,0,male
0,14,0,male
0.0217567203457685,15,0,male
0.0217567203457685,16,0,male
0.0217567203457685,17,0,male
0.0217567203457685,18,0,male
0.0217567203457685,19,0,male
0.0809162119612404,20,0,male
0.0809162119612404,21,0,male
0.0809162119612404,22,0,male
0.0809162119612404,23,0,male
0.0809162119612404,24,0,male
0.0961899353436075,25,0,male
0.0961899353436075,26,0,male
0.0961899353436075,27,0,male
0.0961899353436075,28,0,male
0.0961899353436075,29,0,male
0.0849118578377012,30,0,male
0.0849118578377012,31,0,male
0.0849118578377012,32,0,male
0.0849118578377012,33,0,male
0.0849118578377012,34,0,male
0.0550260961254375,35,0,male
0.0550260961254375,36,0,male
0.0550260961254375,37,0,male
0.0550260961254375,38,0,male
0.0550260961254375,39,0,male
0.0271747089546082,40,0,male
0.0271747089546082,41,0,male
0.0271747089546082,42,0,male
0.0271747089546082,43,0,male
0.0271747089546082,44,0,male
0.0114674337180531,45,0,male
0.0114674337180531,46,0,male
0.0114674337180531,47,0,male
0.0114674337180531,48,0,male
0.0114674337180531,49,0,male
0.00518477157360406,50,0,male
0.00518477157360406,51,0,male
0.00518477157360406,52,0,male
0.00518477157360406,53,0,male
0.00518477157360406,54,0,male
0.00261270236612702,55,0,male
0.00261270236612702,56,0,male
0.00261270236612702,57,0,male
0.00261270236612702,58,0,male
0.00261270236612702,59,0,male
0.00130523560209424,60,0,male
0.00130523560209424,61,0,male
0.00130523560209424,62,0,male
0.00130523560209424,63,0,male
0.00130523560209424,64,0,male
3.7565445026178e-4,65,0,male
3.7565445026178e-4,66,0,male
3.7565445026178e-4,67,0,male
3.7565445026178e-4,68,0,male
3.7565445026178e-4,69,0,male
3.7565445026178e-4,70,0,male
3.7565445026178e-4,71,0,male
3.7565445026178e-4,72,0,male
3.7565445026178e-4,73,0,male
3.7565445026178e-4,74,0,male
3.7565445026178e-4,75,0,male
3.7565445026178e-4,76,0,male
3.7565445026178e-4,77,0,male
3.7565445026178e-4,78,0,male
3.7565445026178e-4,79,0,male
3.7565445026178e-4,80,0,male
3.7565445026178e-4,81,0,male
3.7565445026178e-4,82,0,male
3.7565445026178e-4,83,0,male
3.7565445026178e-4,84,0,male
3.7565445026178e-4,85,0,male
3.7565445026178e-4,86,0,male
3.7565445026178e-4,87,0,male
3.7565445026178e-4,88,0,male
3.7565445026178e-4,89,0,male
3.7565445026178e-4,90,0,male
3.7565445026178e-4,91,0,male
3.7565445026178e-4,92,0,male
3.7565445026178e-4,93,0,male
3.7565445026178e-4,94,0,male
3.7565445026178e-4,95,0,male
3.7565445026178e-4,96,0,male
