children,gender,age
0,female,1
0,female,2
0,female,3
0,female,4
0,female,5
0,female,6
0,female,7
0,female,8
0,female,9
0,female,10
0,female,11
0,female,12
0,female,13
0,female,14
0.05439449383699911,female,15
0.10879657273436896,female,16
0.16365722078229408,female,17
0.2196895819244833,female,18
0.2772298515735484,female,19
0.39055153706126056,female,20
0.5055272884981218,female,21
0.6227139013939158,female,22
0.7421886119543059,female,23
0.8632068123730632,female,24
0.9820630059709654,female,25
1.101790108305379,female,26
1.2216782068534247,female,27
1.341763744769019,female,28
1.4628749116067303,female,29
1.563357567664601,female,30
1.6657952088216745,female,31
1.7703712865884156,female,32
1.805023069499496,female,33
1.840083221543342,female,34
1.8362597312815847,female,35
1.832804216807745,female,36
1.8295445302540525,female,37
1.7554160093191442,female,38
1.6804206071578838,female,39
1.5703730511394294,female,40
1.4595801276833071,female,41
1.3480295382641692,female,42
1.245342740991037,female,43
1.141330849556624,female,44
1.0269229226928727,female,45
0.9108500179267396,female,46
0.7932004280152207,female,47
0.7038741046237348,female,48
0.6136749523098546,female,49
0.5217679226419817,female,50
0.42891677817441154,female,51
0.33487960341397255,female,52
0.28530709955616357,female,53
0.23501145242114022,female,54
0.18409349493587143,female,55
0.13250122990302718,female,56
0.08018916603940779,female,57
0.0673872984156701,female,58
0.054050063702911294,female,59
0.040170934089798487,female,60
0.025680368272905145,female,61
0.010515802416625853,female,62
0.008787422968445101,female,63
0.006896961776401275,female,64
0.004825022706134644,female,65
0.0025377668938192815,female,66
0,female,67
0,female,68
0,female,69
0,female,70
0,female,71
0,female,72
0,female,73
0,female,74
0,female,75
0,female,76
0,female,77
0,female,78
0,female,79
0,female,80
0,female,81
0,female,82
0,female,83
0,female,84
0,female,85
0,female,86
0,female,87
0,female,88
0,female,89
0,female,90
0,female,91
0,female,92
0,female,93
0,female,94
0,female,95
0,female,96
0,female,97
0,female,98
0,female,99
0,female,100
