prob,father_age,child_age,gender
0,1,0,male
0,2,0,male
0,3,0,male
0,4,0,male
0,5,0,male
0,6,0,male
0,7,0,male
0,8,0,male
0,9,0,male
0,10,0,male
0,11,0,male
0,12,0,male
0,13,0,male
0,14,0,male
0.00102785806822491,15,0,male
0.00102785806822491,16,0,male
0.00102785806822491,17,0,male
0.00102785806822491,18,0,male
0.00102785806822491,19,0,male
0.0138979846972469,20,0,male
0.0138979846972469,21,0,male
0.0138979846972469,22,0,male
0.0138979846972469,23,0,male
0.0138979846972469,24,0,male
0.0499190010962766,25,0,male
0.0499190010962766,26,0,male
0.0499190010962766,27,0,male
0.0499190010962766,28,0,male
0.0499190010962766,29,0,male
0.0853583551377391,30,0,male
0.0853583551377391,31,0,male
0.0853583551377391,32,0,male
0.0853583551377391,33,0,male
0.0853583551377391,34,0,male
0.0711923458613529,35,0,male
0.0711923458613529,36,0,male
0.0711923458613529,37,0,male
0.0711923458613529,38,0,male
0.0711923458613529,39,0,male
0.031449957503267,40,0,male
0.031449957503267,41,0,male
0.031449957503267,42,0,male
0.031449957503267,43,0,male
0.031449957503267,44,0,male
0.00894931809358128,45,0,male
0.00894931809358128,46,0,male
0.00894931809358128,47,0,male
0.00894931809358128,48,0,male
0.00894931809358128,49,0,male
0.00246559633027523,50,0,male
0.00246559633027523,51,0,male
0.00246559633027523,52,0,male
0.00246559633027523,53,0,male
0.00246559633027523,54,0,male
7.48258706467662e-4,55,0,male
7.48258706467662e-4,56,0,male
7.48258706467662e-4,57,0,male
7.48258706467662e-4,58,0,male
7.48258706467662e-4,59,0,male
2.49202551834131e-4,60,0,male
2.49202551834131e-4,61,0,male
2.49202551834131e-4,62,0,male
2.49202551834131e-4,63,0,male
2.49202551834131e-4,64,0,male
4.02123424021234e-5,65,0,male
4.02123424021234e-5,66,0,male
4.02123424021234e-5,67,0,male
4.02123424021234e-5,68,0,male
4.02123424021234e-5,69,0,male
4.02123424021234e-5,70,0,male
4.02123424021234e-5,71,0,male
4.02123424021234e-5,72,0,male
4.02123424021234e-5,73,0,male
4.02123424021234e-5,74,0,male
4.02123424021234e-5,75,0,male
4.02123424021234e-5,76,0,male
4.02123424021234e-5,77,0,male
4.02123424021234e-5,78,0,male
4.02123424021234e-5,79,0,male
4.02123424021234e-5,80,0,male
4.02123424021234e-5,81,0,male
4.02123424021234e-5,82,0,male
4.02123424021234e-5,83,0,male
4.02123424021234e-5,84,0,male
4.02123424021234e-5,85,0,male
4.02123424021234e-5,86,0,male
4.02123424021234e-5,87,0,male
4.02123424021234e-5,88,0,male
4.02123424021234e-5,89,0,male
4.02123424021234e-5,90,0,male
4.02123424021234e-5,91,0,male
4.02123424021234e-5,92,0,male
4.02123424021234e-5,93,0,male
4.02123424021234e-5,94,0,male
4.02123424021234e-5,95,0,male
