children,gender,age
0,male,1
0,male,2
0,male,3
0,male,4
0,male,5
0,male,6
0,male,7
0,male,8
0,male,9
0,male,10
0,male,11
0,male,12
0,male,13
0,male,14
0.011618891048610042,male,15
0.023237782097220085,male,16
0.03485667314583013,male,17
0.04647556419444017,male,18
0.05809445524305021,male,19
0.14474611267907408,male,20
0.23139777011509793,male,21
0.3180494275511218,male,22
0.40247610687915053,male,23
0.4870564017689708,male,24
0.6162969837409709,male,25
0.7455375657129709,male,26
0.8785281023826188,male,27
1.0014286264373524,male,28
1.1285804854502814,male,29
1.2707655300301979,male,30
1.4129505746101143,male,31
1.5424277460912512,male,32
1.66637097150365,male,33
1.7867830071081288,male,34
1.8792848153816326,male,35
1.9717866236551365,male,36
2.072851004968713,male,37
2.105368752432292,male,38
2.1399935089629443,male,39
2.1309297756054186,male,40
2.1218660422478934,male,41
2.111914992853461,male,42
2.0479311146000185,male,43
1.9818812427028727,male,44
1.884878212290603,male,45
1.7878751818783332,male,46
1.69105816001729,male,47
1.5863972689518815,male,48
1.4898284703746023,male,49
1.3720434009057423,male,50
1.2542583314368825,male,51
1.1380105412573702,male,52
1.0589216532350034,male,53
0.9669419422008987,male,54
0.8637997961693553,male,55
0.7606576501378118,male,56
0.6616391314022604,male,57
0.5917229290048495,male,58
0.5276787359237131,male,59
0.4547562714409133,male,60
0.38183380695811353,male,61
0.3101016706996008,male,62
0.2749451651740206,male,63
0.24167905945193116,male,64
0.20820385699808622,male,65
0.17472865454424127,male,66
0.13935753845012339,male,67
0.1263849895471836,male,68
0.11098108253788255,male,69
0.09634565820866871,male,70
0.08171023387945486,male,71
0.06790189385883012,male,72
0.06117925085559142,male,73
0.05712378504136106,male,74
0.0496533571509881,male,75
0.04218292926061514,male,76
0.03477030228888981,male,77
0.03125924133522369,male,78
0.027574911317065666,male,79
0.024387546368207745,male,80
0.021200181419349828,male,81
0.017193842456486898,male,82
0.01565615523123264,male,83
0.013629803057131067,male,84
0.011163613639106536,male,85
0.008697424221082006,male,86
0.006680018886935074,male,87
0.005614817074756841,male,88
0.004888177198607472,male,89
0.004229697274670779,male,90
0.0035712173507340874,male,91
0.00233027554400335,male,92
0.0017478136612093052,male,93
0.0011653517784152604,male,94
7.769011856101737e-4,male,95
3.8845059280508685e-4,male,96
0,male,97
0,male,98
0,male,99
0,male,100
