prob,father_age,child_age,gender
0,1,0,male
0,2,0,male
0,3,0,male
0,4,0,male
0,5,0,male
0,6,0,male
0,7,0,male
0,8,0,male
0,9,0,male
0,10,0,male
0,11,0,male
0,12,0,male
0,13,0,male
0,14,0,male
0.00487363101894633,15,0,male
0.00487363101894633,16,0,male
0.00487363101894633,17,0,male
0.00487363101894633,18,0,male
0.00487363101894633,19,0,male
0.0363483817478923,20,0,male
0.0363483817478923,21,0,male
0.0363483817478923,22,0,male
0.0363483817478923,23,0,male
0.0363483817478923,24,0,male
0.112713891714766,25,0,male
0.112713891714766,26,0,male
0.112713891714766,27,0,male
0.112713891714766,28,0,male
0.112713891714766,29,0,male
0.172583194315061,30,0,male
0.172583194315061,31,0,male
0.172583194315061,32,0,male
0.172583194315061,33,0,male
0.172583194315061,34,0,male
0.162903714109313,35,0,male
0.162903714109313,36,0,male
0.162903714109313,37,0,male
0.162903714109313,38,0,male
0.162903714109313,39,0,male
0.116263274474312,40,0,male
0.116263274474312,41,0,male
0.116263274474312,42,0,male
0.116263274474312,43,0,male
0.116263274474312,44,0,male
0.0602837106153009,45,0,male
0.0602837106153009,46,0,male
0.0602837106153009,47,0,male
0.0602837106153009,48,0,male
0.0602837106153009,49,0,male
0.0343375746733169,50,0,male
0.0343375746733169,51,0,male
0.0343375746733169,52,0,male
0.0343375746733169,53,0,male
0.0343375746733169,54,0,male
0.0208420864965992,55,0,male
0.0208420864965992,56,0,male
0.0208420864965992,57,0,male
0.0208420864965992,58,0,male
0.0208420864965992,59,0,male
0.00855168624709108,60,0,male
0.00855168624709108,61,0,male
0.00855168624709108,62,0,male
0.00855168624709108,63,0,male
0.00855168624709108,64,0,male
0.00726332066475634,65,0,male
0.00726332066475634,66,0,male
0.00726332066475634,67,0,male
0.00726332066475634,68,0,male
0.00726332066475634,69,0,male
0.00957266444772018,70,0,male
0.00957266444772018,71,0,male
0.00957266444772018,72,0,male
0.00957266444772018,73,0,male
0.00957266444772018,74,0,male
0,75,0,male
0,76,0,male
0,77,0,male
0,78,0,male
0,79,0,male
0,80,0,male
0,81,0,male
0,82,0,male
0,83,0,male
0,84,0,male
0,85,0,male
0,86,0,male
0,87,0,male
0,88,0,male
0,89,0,male
0,90,0,male
0,91,0,male
0,92,0,male
0,93,0,male
0,94,0,male
0,95,0,male
0,96,0,male
0,97,0,male
0,98,0,male
0,99,0,male
0,100,0,male
0,1,1,male
0,2,1,male
0,3,1,male
0,4,1,male
0,5,1,male
0,6,1,male
0,7,1,male
0,8,1,male
0,9,1,male
0,10,1,male
0,11,1,male
0,12,1,male
0,13,1,male
0,14,1,male
0,15,1,male
0.00487363101894633,16,1,male
0.00487363101894633,17,1,male
0.00487363101894633,18,1,male
0.00487363101894633,19,1,male
0.00487363101894633,20,1,male
0.0363483817478923,21,1,male
0.0363483817478923,22,1,male
0.0363483817478923,23,1,male
0.0363483817478923,24,1,male
0.0363483817478923,25,1,male
0.112713891714766,26,1,male
0.112713891714766,27,1,male
0.112713891714766,28,1,male
0.112713891714766,29,1,male
0.112713891714766,30,1,male
0.172583194315061,31,1,male
0.172583194315061,32,1,male
0.172583194315061,33,1,male
0.172583194315061,34,1,male
0.172583194315061,35,1,male
0.162903714109313,36,1,male
0.162903714109313,37,1,male
0.162903714109313,38,1,male
0.162903714109313,39,1,male
0.162903714109313,40,1,male
0.116263274474312,41,1,male
0.116263274474312,42,1,male
0.116263274474312,43,1,male
0.116263274474312,44,1,male
0.116263274474312,45,1,male
0.0602837106153009,46,1,male
0.0602837106153009,47,1,male
0.0602837106153009,48,1,male
0.0602837106153009,49,1,male
0.0602837106153009,50,1,male
0.0343375746733169,51,1,male
0.0343375746733169,52,1,male
0.0343375746733169,53,1,male
0.0343375746733169,54,1,male
0.0343375746733169,55,1,male
0.0208420864965992,56,1,male
0.0208420864965992,57,1,male
0.0208420864965992,58,1,male
0.0208420864965992,59,1,male
0.0208420864965992,60,1,male
0.00855168624709108,61,1,male
0.00855168624709108,62,1,male
0.00855168624709108,63,1,male
0.00855168624709108,64,1,male
0.00855168624709108,65,1,male
0.00726332066475634,66,1,male
0.00726332066475634,67,1,male
0.00726332066475634,68,1,male
0.00726332066475634,69,1,male
0.00726332066475634,70,1,male
0.00957266444772018,71,1,male
0.00957266444772018,72,1,male
0.00957266444772018,73,1,male
0.00957266444772018,74,1,male
0.00957266444772018,75,1,male
0,76,1,male
0,77,1,male
0,78,1,male
0,79,1,male
0,80,1,male
0,81,1,male
0,82,1,male
0,83,1,male
0,84,1,male
0,85,1,male
0,86,1,male
0,87,1,male
0,88,1,male
0,89,1,male
0,90,1,male
0,91,1,male
0,92,1,male
0,93,1,male
0,94,1,male
0,95,1,male
0,96,1,male
0,97,1,male
0,98,1,male
0,99,1,male
0,100,1,male
0,1,2,male
0,2,2,male
0,3,2,male
0,4,2,male
0,5,2,male
0,6,2,male
0,7,2,male
0,8,2,male
0,9,2,male
0,10,2,male
0,11,2,male
0,12,2,male
0,13,2,male
0,14,2,male
0,15,2,male
0,16,2,male
0.00487363101894633,17,2,male
0.00487363101894633,18,2,male
0.00487363101894633,19,2,male
0.00487363101894633,20,2,male
0.00487363101894633,21,2,male
0.0363483817478923,22,2,male
0.0363483817478923,23,2,male
0.0363483817478923,24,2,male
0.0363483817478923,25,2,male
0.0363483817478923,26,2,male
0.112713891714766,27,2,male
0.112713891714766,28,2,male
0.112713891714766,29,2,male
0.112713891714766,30,2,male
0.112713891714766,31,2,male
0.172583194315061,32,2,male
0.172583194315061,33,2,male
