0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004185970707639564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004185970707639564,0.004185970707639564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004185970707639564,0.004185970707639564,0.004185970707639564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004185970707639564,0.004185970707639564,0.004185970707639564,0.004185970707639564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004185970707639564,0.004185970707639564,0.004185970707639564,0.004185970707639564,0.004185970707639564,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07907767583631703,0.004185970707639564,0.004185970707639564,0.004185970707639564,0.004185970707639564,0.004185970707639564,0,0,0,0,0,0,0,0,0,0,0,0
0.07907767583631703,0.07907767583631703,0.004185970707639564,0.004185970707639564,0.004185970707639564,0.004185970707639564,0.004185970707639564,0,0,0,0,0,0,0,0,0,0,0
0.07907767583631703,0.07907767583631703,0.07907767583631703,0.004185970707639564,0.004185970707639564,0.004185970707639564,0.004185970707639564,0.004185970707639564,0,0,0,0,0,0,0,0,0,0
0.07907767583631703,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.004185970707639564,0.004185970707639564,0.004185970707639564,0.004185970707639564,0.004185970707639564,0,0,0,0,0,0,0,0,0
0.07907767583631703,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.004185970707639564,0.004185970707639564,0.004185970707639564,0.004185970707639564,0.004185970707639564,0,0,0,0,0,0,0,0
0.17138771511419307,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.004185970707639564,0.004185970707639564,0.004185970707639564,0.004185970707639564,0.007161391646660894,0,0,0,0,0,0,0
0.17138771511419307,0.17138771511419307,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.004185970707639564,0.004185970707639564,0.004185970707639564,0.007161391646660894,0.007161391646660894,0,0,0,0,0,0
0.17138771511419307,0.17138771511419307,0.17138771511419307,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.004185970707639564,0.004185970707639564,0.007161391646660894,0.007161391646660894,0.007161391646660894,0,0,0,0,0
0.17138771511419307,0.17138771511419307,0.17138771511419307,0.17138771511419307,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.004185970707639564,0.007161391646660894,0.007161391646660894,0.007161391646660894,0.007161391646660894,0,0,0,0
0.17138771511419307,0.17138771511419307,0.17138771511419307,0.17138771511419307,0.17138771511419307,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.007161391646660894,0.007161391646660894,0.007161391646660894,0.007161391646660894,0.004925628889359483,0,0,0
0.14220328347514816,0.17138771511419307,0.17138771511419307,0.17138771511419307,0.17138771511419307,0.17138771511419307,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.08451605803203122,0.007161391646660894,0.007161391646660894,0.007161391646660894,0.004925628889359483,0.004925628889359483,0,0
0.14220328347514816,0.14220328347514816,0.17138771511419307,0.17138771511419307,0.17138771511419307,0.17138771511419307,0.17138771511419307,0.07907767583631703,0.07907767583631703,0.07907767583631703,0.08451605803203122,0.08451605803203122,0.007161391646660894,0.007161391646660894,0.004925628889359483,0.004925628889359483,0.004925628889359483,0
0.14220328347514816,0.14220328347514816,0.14220328347514816,0.17138771511419307,0.17138771511419307,0.17138771511419307,0.17138771511419307,0.17138771511419307,0.07907767583631703,0.07907767583631703,0.08451605803203122,0.08451605803203122,0.08451605803203122,0.007161391646660894,0.004925628889359483,0.004925628889359483,0.004925628889359483,0.004925628889359483
0.14220328347514816,0.14220328347514816,0.14220328347514816,0.14220328347514816,0.17138771511419307,0.17138771511419307,0.17138771511419307,0.17138771511419307,0.17138771511419307,0.07907767583631703,0.08451605803203122,0.08451605803203122,0.08451605803203122,0.08451605803203122,0.004925628889359483,0.004925628889359483,0.004925628889359483,0.004925628889359483
0.14220328347514816,0.14220328347514816,0.14220328347514816,0.14220328347514816,0.14220328347514816,0.17138771511419307,0.17138771511419307,0.17138771511419307,0.17138771511419307,0.17138771511419307,0.08451605803203122,0.08451605803203122,0.08451605803203122,0.08451605803203122,0.0792471144399654,0.004925628889359483,0.004925628889359483,0.004925628889359483
