0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011134258663619232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011134258663619232,0.011174155585659904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011134258663619232,0.011174155585659904,0.011928508365375668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011134258663619232,0.011174155585659904,0.011928508365375668,0.01268296814015044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011134258663619232,0.011174155585659904,0.011928508365375668,0.01268296814015044,0.013730613009628974,0,0,0,0,0,0,0,0,0,0,0,0,0
0.048255334158478026,0.011174155585659904,0.011928508365375668,0.01268296814015044,0.013730613009628974,0.01448714919484863,0,0,0,0,0,0,0,0,0,0,0,0
0.048255334158478026,0.0484282454732886,0.011928508365375668,0.01268296814015044,0.013730613009628974,0.01448714919484863,0.015614392197126492,0,0,0,0,0,0,0,0,0,0,0
0.048255334158478026,0.0484282454732886,0.05048051687530448,0.01268296814015044,0.013730613009628974,0.01448714919484863,0.015614392197126492,0.017370285777656147,0,0,0,0,0,0,0,0,0,0
