X0.years,X1.years,X2.years,X3.years,X4.years,X5.years,X6.years,X7.years,X8.years,X9.years,X10.years,X11.years,X12.years,X13.years,X14.years,X15.years,X16.years,X17.years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0015857516388845367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0015857516388845367,0.0015856389704836024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0015857516388845367,0.0015856389704836024,0.0015855253464966096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0015857516388845367,0.0015856389704836024,0.0015855253464966096,0.0016042252617575656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0015857516388845367,0.0015856389704836024,0.0015855253464966096,0.0016042252617575656,0.0016276417455653501,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02258160951061992,0.0015856389704836024,0.0015855253464966096,0.0016042252617575656,0.0016276417455653501,0.0016328503488595172,0,0,0,0,0,0,0,0,0,0,0,0
0.02258160951061992,0.022580005076626795,0.0015855253464966096,0.0016042252617575656,0.0016276417455653501,0.0016328503488595172,0.0018880690079586336,0,0,0,0,0,0,0,0,0,0,0
