Age,Female,Male
0-4,897,946
5-9,965,1016
10-14,919,965
15-19,874,906
20-24,1064,1105
25-29,1273,1355
30-34,1444,1564
35-39,1537,1628
40-44,1400,1430
45-49,1215,1218
50-54,1133,1109
55-59,1318,1232
60-64,1474,1293
65-69,1296,1036
70-74,922,664
75-79,633,381
80-84,590,303
85-89,376,159
90-94,166,58
95-99,42,13
100+,3,1
