age,gender,total_deaths,total_pop,nb_orphans,mortality
0-14,Female,964,2781000,0,3.466379000359583e-4
0-14,Male,1216,2927000,0,4.154424325247694e-4
15-49,Female,6074,8807000,4635,6.896786646985352e-4
15-49,Male,19188,9206000,15152,0.0020842928524875083
50-69,Female,39229,5221000,890,0.007513694694502969
50-69,Male,80970,4670000,6133,0.01733832976445396
70+,Female,143908,2687000,0,0.053557126907331595
70+,Male,109464,1565000,856,0.06994504792332268
