Age,Female,Male
0-4,5444,5694
5-9,5461,5716
10-14,5485,5713
15-19,5506,5650
20-24,5457,5512
25-29,5307,5198
30-34,4925,4589
35-39,4661,4240
40-44,4433,3981
45-49,4068,3630
50-54,3484,3086
55-59,2894,2578
60-64,2331,2032
65-69,1754,1515
70-74,1233,1049
75-79,879,721
80-84,573,432
85-89,351,242
90-94,164,106
95-99,53,33
100+,8,5
