Age,Female,Male
0-4,2871,2944
5-9,2777,2841
10-14,2473,2514
15-19,2402,2438
20-24,2530,2574
25-29,2671,2725
30-34,2481,2530
35-39,2035,2045
40-44,1746,1708
45-49,1498,1428
50-54,1276,1171
55-59,1085,942
60-64,896,730
65-69,654,495
70-74,486,333
75-79,329,195
80-84,181,91
85-89,68,28
90-94,14,4
95-99,1,0
100+,0,0
