Age,Female,Male
0-4,1928,2023
5-9,2009,2105
10-14,1899,1985
15-19,1805,1880
20-24,2024,2097
25-29,2225,2285
30-34,2340,2344
35-39,2274,2246
40-44,2142,2129
45-49,2200,2154
50-54,2374,2301
55-59,2267,2197
60-64,1931,1869
65-69,1749,1658
70-74,1734,1596
75-79,1255,1089
80-84,951,749
85-89,632,432
90-94,323,171
95-99,106,40
100+,13,3
