year,age,gender,fertility_rate,country
2002,15-19,Male,1.8904109589041096,France
2002,20-24,Male,27.011505752876438,France
2002,25-29,Male,95.80138077535847,France
2002,30-34,Male,127.54158415841584,France
2002,35-39,Male,82.40350877192982,France
2002,40-44,Male,34.00459136822773,France
2002,45-49,Male,11.82689556509299,France
2002,50-54,Male,4.110946012877662,France
2002,55-59,Male,1.6396263520157326,France
2002,60-64,Male,0.72809863724854,France
2002,65+,Male,0.030743565300285988,France
2003,15-19,Male,1.8904109589041096,France
2003,20-24,Male,27.011505752876438,France
2003,25-29,Male,95.80138077535847,France
2003,30-34,Male,127.54158415841584,France
2003,35-39,Male,82.40350877192982,France
2003,40-44,Male,34.00459136822773,France
2003,45-49,Male,11.82689556509299,France
2003,50-54,Male,4.110946012877662,France
2003,55-59,Male,1.6396263520157326,France
2003,60-64,Male,0.72809863724854,France
2003,65+,Male,0.030743565300285988,France
2004,15-19,Male,1.8904109589041096,France
2004,20-24,Male,27.011505752876438,France
2004,25-29,Male,95.80138077535847,France
2004,30-34,Male,127.54158415841584,France
2004,35-39,Male,82.40350877192982,France
2004,40-44,Male,34.00459136822773,France
2004,45-49,Male,11.82689556509299,France
2004,50-54,Male,4.110946012877662,France
2004,55-59,Male,1.6396263520157326,France
2004,60-64,Male,0.72809863724854,France
2004,65+,Male,0.030743565300285988,France
2005,15-19,Male,1.8904109589041096,France
2005,20-24,Male,27.011505752876438,France
2005,25-29,Male,95.80138077535847,France
2005,30-34,Male,127.54158415841584,France
2005,35-39,Male,82.40350877192982,France
2005,40-44,Male,34.00459136822773,France
2005,45-49,Male,11.82689556509299,France
2005,50-54,Male,4.110946012877662,France
2005,55-59,Male,1.6396263520157326,France
2005,60-64,Male,0.72809863724854,France
2005,65+,Male,0.030743565300285988,France
2006,15-19,Male,1.8904109589041096,France
2006,20-24,Male,27.011505752876438,France
2006,25-29,Male,95.80138077535847,France
2006,30-34,Male,127.54158415841584,France
2006,35-39,Male,82.40350877192982,France
2006,40-44,Male,34.00459136822773,France
2006,45-49,Male,11.82689556509299,France
2006,50-54,Male,4.110946012877662,France
2006,55-59,Male,1.6396263520157326,France
2006,60-64,Male,0.72809863724854,France
2006,65+,Male,0.030743565300285988,France
2007,15-19,Male,1.8904109589041096,France
2007,20-24,Male,27.011505752876438,France
2007,25-29,Male,95.80138077535847,France
2007,30-34,Male,127.54158415841584,France
2007,35-39,Male,82.40350877192982,France
2007,40-44,Male,34.00459136822773,France
2007,45-49,Male,11.82689556509299,France
2007,50-54,Male,4.110946012877662,France
2007,55-59,Male,1.6396263520157326,France
2007,60-64,Male,0.72809863724854,France
2007,65+,Male,0.030743565300285988,France
2008,15-19,Male,1.9385245901639345,France
2008,20-24,Male,27.852409638554217,France
2008,25-29,Male,95.62205959226345,France
2008,30-34,Male,130.67602040816325,France
2008,35-39,Male,84.48733302625519,France
2008,40-44,Male,34.802298850574715,France
2008,45-49,Male,12.064120697784064,France
2008,50-54,Male,4.202776400594943,France
2008,55-59,Male,1.5943396226415094,France
2008,60-64,Male,0.7338086749851456,France
2008,65+,Male,0.02359046945034206,France
2009,15-19,Male,1.9855670103092784,France
2009,20-24,Male,27.612821807168096,France
2009,25-29,Male,94.48968008255935,France
2009,30-34,Male,132.55700836820083,France
2009,35-39,Male,84.09921550530687,France
2009,40-44,Male,35.208927749654855,France
2009,45-49,Male,12.289314045730285,France
2009,50-54,Male,4.331849653808111,France
2009,55-59,Male,1.574585635359116,France
2009,60-64,Male,0.6646375207526287,France
2009,65+,Male,0.026517794836008374,France
2010,15-19,Male,1.670108415074858,France
2010,20-24,Male,26.862366683595734,France
2010,25-29,Male,93.96309584828293,France
2010,30-34,Male,138.08545647558387,France
2010,35-39,Male,85.43709226467847,France
2010,40-44,Male,36.19724137931034,France
2010,45-49,Male,12.531018518518518,France
2010,50-54,Male,4.418307086614173,France
2010,55-59,Male,1.5824064711830133,France
2010,60-64,Male,0.6675489677077819,France
2010,65+,Male,0.02481785063752277,France
2011,15-19,Male,1.6283783783783783,France
2011,20-24,Male,25.410548086866598,France
2011,25-29,Male,88.93550025393601,France
2011,30-34,Male,137.20337197049525,France
2011,35-39,Male,86.24866180048662,France
2011,40-44,Male,37.671395881006866,France
2011,45-49,Male,13.259549010584445,France
2011,50-54,Male,4.560173997100049,France
2011,55-59,Male,1.6826286296484971,France
2011,60-64,Male,0.6409067490984028,France
2011,65+,Male,0.029732620320855614,France
2012,15-19,Male,1.6283783783783783,France
2012,20-24,Male,25.410548086866598,France
2012,25-29,Male,88.93550025393601,France
2012,30-34,Male,137.20337197049525,France
2012,35-39,Male,86.24866180048662,France
2012,40-44,Male,37.671395881006866,France
2012,45-49,Male,13.259549010584445,France
2012,50-54,Male,4.560173997100049,France
2012,55-59,Male,1.6826286296484971,France
2012,60-64,Male,0.6409067490984028,France
2012,65+,Male,0.029732620320855614,France
2013,15-19,Male,1.489119170984456,France
2013,20-24,Male,24.0429094714809,France
2013,25-29,Male,88.37378888322284,France
2013,30-34,Male,133.21617418351477,France
2013,35-39,Male,88.14722083124687,France
2013,40-44,Male,38.09625912408759,France
2013,45-49,Male,13.238029465930019,France
2013,50-54,Male,4.602576335877862,France
2013,55-59,Male,1.668702290076336,France
2013,60-64,Male,0.6048805815160956,France
2013,65+,Male,0.02992158481221626,France
2014,15-19,Male,1.443070582174137,France
2014,20-24,Male,22.93336858804865,France
2014,25-29,Male,87.27660668380463,France
2014,30-34,Male,131.80358056265985,France
2014,35-39,Male,90.98564102564103,France
