Age,Female,Male
0-4,1821,1909
5-9,1817,1901
10-14,1926,2012
15-19,2103,2190
20-24,2175,2245
25-29,2158,2201
30-34,1989,1989
35-39,1877,1812
40-44,1741,1602
45-49,1591,1405
50-54,1524,1364
55-59,1357,1201
60-64,1092,924
65-69,875,743
70-74,616,509
75-79,427,331
80-84,287,210
85-89,160,109
90-94,67,44
95-99,20,12
100+,2,1
