age,gender,total_deaths,total_pop,nb_orphans,mortality
0-19,Female,5526,7667000,198,7.207512716838399e-4
0-19,Male,8830,8012000,127,0.001102096854717923
20-49,Female,10621,11531000,12877,9.210822998872605e-4
20-49,Male,25131,11254000,32707,0.0022330726852674604
50-69,Female,24284,4848000,2204,0.0050090759075907595
50-69,Male,33806,4232000,14280,0.007988185255198487
70+,Female,62498,1557000,0,0.04014001284521516
70+,Male,62483,1203000,2143,0.05193931837073982
