Age,Female,Male
0-4,9538,9974
5-9,10061,10523
10-14,10320,10782
15-19,10420,10844
20-24,11110,11555
25-29,11531,11999
30-34,11041,11321
35-39,10455,10498
40-44,10080,9994
45-49,10136,10117
50-54,10567,10641
55-59,11002,10770
60-64,10369,9742
65-69,8963,8074
70-74,7061,6032
75-79,4910,3964
80-84,3444,2620
85-89,2370,1499
90-94,1341,696
95-99,462,186
100+,66,17
