Age,Female,Male
0-4,1884,1985
5-9,1773,1888
10-14,1827,1966
15-19,2006,2174
20-24,2166,2355
25-29,2373,2567
30-34,2626,2783
35-39,2566,2642
40-44,2444,2479
45-49,2842,2887
50-54,3461,3502
55-59,3286,3277
60-64,2823,2703
65-69,2364,2164
70-74,2060,1822
75-79,2164,1739
80-84,1793,1272
85-89,967,550
90-94,517,213
95-99,155,42
100+,14,3
