Age,Female,Male
0-4,1347,1410
5-9,1379,1390
10-14,1366,1359
15-19,1316,1262
20-24,1388,1322
25-29,1341,1371
30-34,1246,1294
35-39,1159,1198
40-44,1064,1071
45-49,961,946
50-54,847,813
55-59,714,683
60-64,592,561
65-69,473,440
70-74,344,310
75-79,257,224
80-84,171,143
85-89,93,65
90-94,33,20
95-99,8,4
100+,1,0
