age,year,fertility_rate,date,gender
30-34,2007,0.15206931486831024,2007,M
35-39,2007,0.13976943654475266,2007,M
40-44,2007,0.08456942102024036,2007,M
45-49,2007,0.07269522093560461,2007,M
50-54,2007,0.035144032593584965,2007,M
55-59,2007,0.00435047118894473,2007,M
60-64,2007,0.0023187127255062403,2007,M
65-69,2007,0.005478949018488684,2007,M
70-74,2007,0.001984234834489627,2007,M
75-79,2007,0.00185083175593291,2007,M
80+,2007,0,2007,M
under 15-NA,2006,0,2006,M
15-19,2006,0.006857280190913435,2006,M
20-24,2006,0.043720168861859206,2006,M
25-29,2006,0.08177877321525083,2006,M
30-34,2006,0.13418149946781116,2006,M
35-39,2006,0.11523250646059573,2006,M
40-44,2006,0.08309255147235528,2006,M
45-49,2006,0.05276057408948294,2006,M
50-54,2006,0.03973641982982361,2006,M
55-59,2006,0.011027093883665993,2006,M
60-64,2006,0.003345106645681563,2006,M
65-69,2006,0.0021203974186496275,2006,M
70-74,2006,0.0010295005599816947,2006,M
75-79,2006,0.007805019538046264,2006,M
80+,2006,0,2006,M
under 15-NA,2005,0,2005,M
15-19,2005,0.006857280190913435,2005,M
20-24,2005,0.043720168861859206,2005,M
25-29,2005,0.08177877321525083,2005,M
30-34,2005,0.13418149946781116,2005,M
35-39,2005,0.11523250646059573,2005,M
40-44,2005,0.08309255147235528,2005,M
45-49,2005,0.05276057408948294,2005,M
50-54,2005,0.03973641982982361,2005,M
55-59,2005,0.011027093883665993,2005,M
60-64,2005,0.003345106645681563,2005,M
65-69,2005,0.0021203974186496275,2005,M
70-74,2005,0.0010295005599816947,2005,M
75-79,2005,0.007805019538046264,2005,M
80+,2005,0,2005,M
under 15-NA,2004,0,2004,M
15-19,2004,0.006857280190913435,2004,M
20-24,2004,0.043720168861859206,2004,M
25-29,2004,0.08177877321525083,2004,M
30-34,2004,0.13418149946781116,2004,M
35-39,2004,0.11523250646059573,2004,M
40-44,2004,0.08309255147235528,2004,M
45-49,2004,0.05276057408948294,2004,M
50-54,2004,0.03973641982982361,2004,M
55-59,2004,0.011027093883665993,2004,M
60-64,2004,0.003345106645681563,2004,M
65-69,2004,0.0021203974186496275,2004,M
70-74,2004,0.0010295005599816947,2004,M
75-79,2004,0.007805019538046264,2004,M
80+,2004,0,2004,M
under 15-NA,2003,0,2003,M
15-19,2003,0.006857280190913435,2003,M
20-24,2003,0.043720168861859206,2003,M
25-29,2003,0.08177877321525083,2003,M
30-34,2003,0.13418149946781116,2003,M
35-39,2003,0.11523250646059573,2003,M
40-44,2003,0.08309255147235528,2003,M
45-49,2003,0.05276057408948294,2003,M
50-54,2003,0.03973641982982361,2003,M
55-59,2003,0.011027093883665993,2003,M
60-64,2003,0.003345106645681563,2003,M
65-69,2003,0.0021203974186496275,2003,M
70-74,2003,0.0010295005599816947,2003,M
75-79,2003,0.007805019538046264,2003,M
80+,2003,0,2003,M
under 15-NA,2002,0,2002,M
15-19,2002,0.006857280190913435,2002,M
20-24,2002,0.043720168861859206,2002,M
25-29,2002,0.08177877321525083,2002,M
30-34,2002,0.13418149946781116,2002,M
35-39,2002,0.11523250646059573,2002,M
40-44,2002,0.08309255147235528,2002,M
45-49,2002,0.05276057408948294,2002,M
50-54,2002,0.03973641982982361,2002,M
55-59,2002,0.011027093883665993,2002,M
60-64,2002,0.003345106645681563,2002,M
65-69,2002,0.0021203974186496275,2002,M
70-74,2002,0.0010295005599816947,2002,M
75-79,2002,0.007805019538046264,2002,M
80+,2002,0,2002,M
under 15-NA,2017,0,2017,M
15-19,2017,0.004873631018946335,2017,M
20-24,2017,0.036348381747892296,2017,M
25-29,2017,0.1127138917147658,2017,M
30-34,2017,0.17258319431506128,2017,M
35-39,2017,0.16290371410931304,2017,M
40-44,2017,0.11626327447431237,2017,M
45-49,2017,0.060283710615300946,2017,M
50-54,2017,0.034337574673316856,2017,M
55-59,2017,0.02084208649659924,2017,M
60-64,2017,0.008551686247091076,2017,M
65-69,2017,0.007263320664756341,2017,M
70-74,2017,0.009572664447720178,2017,M
75-79,2017,0,2017,M
80+,2017,0,2017,M
under 15-NA,2018,0,2018,M
15-19,2018,0.004873631018946335,2018,M
20-24,2018,0.036348381747892296,2018,M
25-29,2018,0.1127138917147658,2018,M
30-34,2018,0.17258319431506128,2018,M
35-39,2018,0.16290371410931304,2018,M
40-44,2018,0.11626327447431237,2018,M
45-49,2018,0.060283710615300946,2018,M
50-54,2018,0.034337574673316856,2018,M
55-59,2018,0.02084208649659924,2018,M
60-64,2018,0.008551686247091076,2018,M
65-69,2018,0.007263320664756341,2018,M
70-74,2018,0.009572664447720178,2018,M
75-79,2018,0,2018,M
80+,2018,0,2018,M
under 15-NA,2019,0,2019,M
15-19,2019,0.004873631018946335,2019,M
20-24,2019,0.036348381747892296,2019,M
25-29,2019,0.1127138917147658,2019,M
30-34,2019,0.17258319431506128,2019,M
35-39,2019,0.16290371410931304,2019,M
40-44,2019,0.11626327447431237,2019,M
45-49,2019,0.060283710615300946,2019,M
50-54,2019,0.034337574673316856,2019,M
55-59,2019,0.02084208649659924,2019,M
60-64,2019,0.008551686247091076,2019,M
65-69,2019,0.007263320664756341,2019,M
70-74,2019,0.009572664447720178,2019,M
75-79,2019,0,2019,M
80+,2019,0,2019,M
