age,year,fertility_rate,date,gender
65-69,2007,5.245916576582795e-4,2007,F
70-74,2007,3.3629907903129033e-4,2007,F
75-79,2007,2.4431202134983553e-4,2007,F
80+,2007,0.002261343020176503,2007,F
under 15-NA,2006,0,2006,F
15-19,2006,0.004925628889359483,2006,F
20-24,2006,0.0792471144399654,2006,F
25-29,2006,0.17806473525526686,2006,F
30-34,2006,0.1575743503690845,2006,F
35-39,2006,0.0946205722171827,2006,F
40-44,2006,0.04280096429364743,2006,F
45-49,2006,0.02044971637972303,2006,F
50-54,2006,0.007939315023248066,2006,F
55-59,2006,0.004276014871566376,2006,F
60-64,2006,0.0017224363067105332,2006,F
65-69,2006,0.0010231789381465756,2006,F
70-74,2006,4.4915408747015406e-4,2006,F
75-79,2006,2.716091965345841e-4,2006,F
80+,2006,6.049025462691517e-4,2006,F
under 15-NA,2005,0,2005,F
15-19,2005,0.004925628889359483,2005,F
20-24,2005,0.0792471144399654,2005,F
25-29,2005,0.17806473525526686,2005,F
30-34,2005,0.1575743503690845,2005,F
35-39,2005,0.0946205722171827,2005,F
40-44,2005,0.04280096429364743,2005,F
45-49,2005,0.02044971637972303,2005,F
50-54,2005,0.007939315023248066,2005,F
55-59,2005,0.004276014871566376,2005,F
60-64,2005,0.0017224363067105332,2005,F
65-69,2005,0.0010231789381465756,2005,F
70-74,2005,4.4915408747015406e-4,2005,F
75-79,2005,2.716091965345841e-4,2005,F
80+,2005,6.049025462691517e-4,2005,F
under 15-NA,2004,0,2004,F
15-19,2004,0.004925628889359483,2004,F
20-24,2004,0.0792471144399654,2004,F
25-29,2004,0.17806473525526686,2004,F
30-34,2004,0.1575743503690845,2004,F
35-39,2004,0.0946205722171827,2004,F
40-44,2004,0.04280096429364743,2004,F
45-49,2004,0.02044971637972303,2004,F
50-54,2004,0.007939315023248066,2004,F
55-59,2004,0.004276014871566376,2004,F
60-64,2004,0.0017224363067105332,2004,F
65-69,2004,0.0010231789381465756,2004,F
70-74,2004,4.4915408747015406e-4,2004,F
75-79,2004,2.716091965345841e-4,2004,F
80+,2004,6.049025462691517e-4,2004,F
under 15-NA,2003,0,2003,F
15-19,2003,0.004925628889359483,2003,F
20-24,2003,0.0792471144399654,2003,F
25-29,2003,0.17806473525526686,2003,F
30-34,2003,0.1575743503690845,2003,F
35-39,2003,0.0946205722171827,2003,F
40-44,2003,0.04280096429364743,2003,F
45-49,2003,0.02044971637972303,2003,F
50-54,2003,0.007939315023248066,2003,F
55-59,2003,0.004276014871566376,2003,F
